Shop_Name,Cuisine,Location,Rating,Cost_for_Two
Kanti Sweets,Sweets,"Koramangala, Koramangala",4.3,₹ 150
Mumbai Tiffin,"North Indian, Home Food, Thalis, Combo","Sector 5, HSR",4.4,₹ 400
Sri Krishna sagar,"South Indian, North Indian, Fast Food, Beverages, Jain","6th Block, Koramangala",4.1,₹ 126
Al Daaz,"American, Arabian, Chinese, Desserts, Fast Food, Mughlai, North Indian","HSR, HSR",4.4,₹ 400
Beijing Bites,"Chinese, Thai","5th Block, Koramangala",4.1,₹ 450
Kitchens of Punjab,North Indian,"Koramangala 4th  Block, Koramangala",4.2,₹ 350
99 VARIETY DOSA AND PAV BHAJI- Malli Mane Food Court,"Fast Food, North Indian, Chinese","BTM 2nd Stage, BTM",4.1,₹ 200
La Pino'z Pizza,Italian,"BTM, BTM",3.9,₹ 500
Hotel Manu,"South Indian, Kerala, Chinese, North Indian","HSR, HSR",4.1,₹ 350
Yumlane Pizza,"Pizzas, Italian, Mexican","9th Main road, Koramangala",3.8,₹ 150
Ambur Star Briyani,"Chinese, South Indian, North Indian, Desserts, Fast Food, Kerala, Andhra, Beverages, Mughlai, Seafood","outer ring road, BTM",4.1,₹ 500
Cake Box,Desserts,"Koramangala, Koramangala",4,₹ 247
Meghana Foods,"Chinese, Andhra, Biryani, Seafood","5th Block, Koramangala",4.3,₹ 550
Momoz,Chinese,"5th Block, Koramangala",4.3,₹ 450
A2B - Adyar Ananda Bhavan,"South Indian, Chinese, Desserts, North Indian","7th Block, Koramangala",4.2,₹ 450
Shawarma Inc,"Arabian, Fast Food","1st MAin, Koramangala",4.1,₹ 150
WarmOven Cake & Desserts,"Desserts, Beverages","Koramangala, Koramangala",4.1,₹ 200
Sri Lakshmi Dhaba,North Indian,"Bommanahalli, BTM",3.7,₹ 200
Falahaar & Kota Kachori,North Indian,"6th block, Koramangala",4.2,₹ 300
Shree Khana Khazana,"Indian, Rajasthani","Sector 4, HSR",4.1,₹ 350
Just Bake - Cakes & confectioners,"Desserts, Bakery","BTM 1st stage, BTM",4.3,₹ 300
Maa Di Hatti,"Chinese, Healthy Food, North Indian","Jakkasandra Extn, Koramangala",4,₹ 129
Hotel Godavari,"North Indian, Chinese, Hyderabadi","Marutinagar Main Road, BTM",4,₹ 400
Rolls On Wheels,Fast Food,"1st Block, Koramangala",4.1,₹ 300
New Udupi Grand,"Chinese, Jain, North Indian, South Indian","HSR, HSR",4.3,₹ 150
Swad Punjab da,Indian,"BTM, BTM",4.1,₹ 250
Rice Bowl,"North Indian, South Indian, Chinese","6th Block, Koramangala",4.1,₹ 250
High N Hungry,"Andhra, Biryani, Chinese, Desserts, Fast Food, Seafood, South Indian","4th Cross, BTM",4.1,₹ 350
Burger King,"American, Fast Food","7th Block, Koramangala",3.9,₹ 350
Nandhana Palace,"Biryani, Seafood, North Indian, Chinese, Desserts, Andhra, South Indian","Koramangala, Koramangala",4,₹ 500
Easy Bites,"Snacks, American","koramangala, Koramangala",3.9,₹ 200
Bengali Fun Foods,North Indian,"BTM 2nd stage, BTM",4.2,₹ 300
Madurai Idly Shop,South Indian,"6th Block, Koramangala",4,₹ 150
Oottupura,"Kerala, South Indian","BTM, BTM",4.3,₹ 268
Taco Bell,Mexican,"6th Block, Koramangala",4.3,₹ 600
Hyderabadi Biryani Hub,"North Indian, Chinese, Biryani","3rd main, BTM",3.9,₹ 450
Biriyani Zone,"North Indian, Chinese, Biryani","HSR 1st sector, HSR",4.1,₹ 600
Gongura's,"North Indian, Chinese, Biryani","Sector 7, HSR",3.8,₹ 300
Bathinda Junction,North Indian,"5th Block, Koramangala",4.1,₹ 250
Leon Grill,"Turkish, Portuguese, American","3rd Sector, HSR",4.3,₹ 300
Venu's Donne Biryani,Biryani,"Chocolate Factory Road, BTM",4.3,₹ 300
Cakewala,Desserts,"HSR, HSR",4.3,₹ 450
Swadista Aahar,"South Indian, Snacks, North Indian, Chinese","16th Main Road, 2nd Stage, BTM",4.1,₹ 250
Cream Stone,Desserts,"5th Block, Koramangala",4.3,₹ 250
Svadu Pure Ghee Sweets,"Desserts, Fast Food, Sweets, Chaat","1st Stage, BTM",4.1,₹ 200
Sai Abhiruchi,"Chinese, South Indian, Andhra, Hyderabadi","BTM, BTM",3.7,₹ 250
Pizza Hut,"Pizzas, Fast Food","Hosur Main Road, Koramangala",4,₹ 600
Hyderabad Biryaani House,"Biryani, Mughlai, South Indian","1st Cross Road, 5th Block, Near Jyothi Nivas College, Koramangala",4,₹ 350
China Pearl,"Chinese, Asian","6th Block, Koramangala",4.4,₹ 527
Balaji's Veg,"North Indian, Chinese, South Indian","Mico Layout, BTM",4.1,₹ 300
Onesta,"Italian, Desserts, Pizzas","4th Cross, Koramangala",3.7,₹ 250
Donne Biryani Mandi,"Biryani, Andhra, South Indian","BTM, BTM",4,₹ 150
